Product,ExpiryDate,Symbol,Strike,PutCall,Name,Position,Theo,Delta,Theta,Vega,Gamma,ActualVolatility,TimeToExpiry,ImpliedVolatility
Option,2020-03-18,OSTERL,99.25,Call,OSTERL Mar Option,-3160,0.20752562540453,0.647050111364615,-0.000256968072638,0.301850555064001,1.08815724917895,0.004135051102543,0.664926240944624,0.417384169790464
Option,2020-03-16,OEU3,99.875,Put,OEU3 Mar Option,100,0.001912407263895,-0.018171835441968,-2.69752801980627E-05,0.033532032734186,0.139635450606522,0.003874725506648,0.659347916718616,0.403232722763882
Option,2020-03-13,OSTERLMC2,99.375,Call,OSTERLMC2 Mar Option,1900,0.161038956037032,0.420064522742809,-0.000433178412595,0.314700357191013,0.730065846462815,0.006548586295076,0.651265038758766,0.61559682754851
Option,2020-03-13,OSTERLMC,99.125,Put,OSTERLMC Mar Option,5000,0.09179506597477,-0.312069534309247,-0.000339099006013,0.284794863621211,0.766404041843979,0.005664640455137,0.651265038758766,0
Option,2020-03-13,OSTERLMC,99.125,Put,OSTERLMC Mar Option,5000,0.09179506597477,-0.312069534309247,-0.000339099006013,0.284794863621211,0.766404041843979,0.005664640455137,0.651265038758766,0
Option,2020-03-16,OEU3,100.75,Call,OEU3 Mar Option,900,0.013771135798071,0.140550800021268,-8.88709848538495E-05,0.18232890571544,1.16943849121388,0.002347682302325,0.659347916718616,0.234380956906919
Option,2020-03-16,OEU3,100.75,Call,OEU3 Mar Option,900,0.013771135798071,0.140550800021268,-8.88709848538495E-05,0.18232890571544,1.16943849121388,0.002347682302325,0.659347916718616,0.234380956906919
Future,2022-03-16,STERL,0,Undefined,STERL Mar Future,-866,99.2675,1,0,0,0,0,2.65842846270925,0
Future,2021-06-16,STERL,0,Undefined,STERL Jun Future,-359,99.3325,1,0,0,0,0,1.91048325722977,0
Option,2020-03-13,OEU3MC3,100.5,Call,OEU3MC3 Mar Option,-2000,0.043330649126995,0.216992743699445,-0.000215999489178,0.238193431000606,0.834944107187736,0.004313452365527,0.651151195407238,0
Option,2020-03-13,OSTERLMC,99,Put,OSTERLMC Mar Option,2000,0.058529144134928,-0.223097466946453,-0.000285625549894,0.239487570914959,0.649221397486089,0.005674035644884,0.651265038758766,0
Future,2022-06-15,STERL,0,Undefined,STERL Jun Future,0,99.2425,1,0,0,0,0,2.90774353120241,0
Option,2020-03-16,OEU3,100.375,Put,OEU3 Mar Option,5500,0.016434981977408,-0.173908250685537,-9.37615148671078E-05,0.208382974674904,1.43802716564817,0.002167191260816,0.659347916718616,0.215591467468891
Option,2020-06-17,OSTERL,99.375,Call,OSTERL Jun Option,400,0.17480620733911,0.519804659953241,-0.000246249302395,0.380269345358784,0.948079450996771,0.004321564957749,0.913560120725833,0.435821482288771
Option,2020-03-18,OSTERL,99.625,Call,OSTERL Mar Option,-4500,0.050524226340718,0.245984829243351,-0.000226924262034,0.253986063307491,0.882038655185586,0.004339750259613,0.664926240944624,0.431907477310479
Option,2020-03-13,OEU3MC,100.375,Put,OEU3MC Mar Option,2000,0.047830075168339,-0.284301691090366,-0.000191759260053,0.276214861762926,1.24585606739606,0.003302260772125,0.651151195407238,0
Option,2020-03-13,OSTERLMC2,99.875,Call,OSTERLMC2 Mar Option,250,0.036515330685178,0.13281550923291,-0.000245626912638,0.172493311670058,0.399132000949331,0.006774569062874,0.651265038758766,0
Future,2021-06-14,FEU3,0,Undefined,FEU3 Jun Future,47,100.5075,1,0,0,0,0,1.90500380517506,0
Option,2020-03-13,OEU3MC,100.25,Put,OEU3MC Mar Option,1000,0.026796468288548,-0.172594851369292,-0.000155582289856,0.205870108098791,0.867795216815741,0.003594751958785,0.651151195407238,0
Option,2020-03-18,OSTERL,98.5,Put,OSTERL Mar Option,-2000,0.005174812231713,-0.029766246357221,-6.25327325916374E-05,0.052840662375736,0.149438634532643,0.005748212925243,0.664926240944624,0.513258115519797
Option,2020-03-18,OSTERL,98.5,Put,OSTERL Mar Option,-200,0.005174812231713,-0.029766246357221,-6.25327325916374E-05,0.052840662375736,0.149438634532643,0.005748212925243,0.664926240944624,0.513258115519797
Future,2022-03-14,FEU3,0,Undefined,FEU3 Mar Future,-74,100.4125,1,0,0,0,0,2.65294901065454,0
Future,2020-03-16,FEU3,0,Undefined,FEU3 Mar Future,5130,100.5425,1,0,0,0,0,0.660600193585651,0
Future,2020-03-16,FEU3,0,Undefined,FEU3 Mar Future,5130,100.5425,1,0,0,0,0,0.660600193585651,0
Future,2023-09-18,FEU3,0,Undefined,FEU3 Sep Future,0,100.12,1,0,0,0,0,4.16801750380523,0
Option,2020-03-18,OSTERL,99,Call,OSTERL Mar Option,-944,0.403173248734717,0.857866751788383,-0.000163100660621,0.182134601152241,0.639528235241791,0.00434967645586,0.664926240944624,0.409529372714652
Option,2020-03-16,OEU3,100.125,Put,OEU3 Mar Option,1500,0.003887692023058,-0.039832151050082,-4.25300630363362E-05,0.069866806195347,0.378241253213912,0.002931973185296,0.659347916718616,0.307957922135071
Future,2020-06-15,FEU3,0,Undefined,FEU3 Jun Future,-58,100.5575,1,0,0,0,0,0.909234073367088,0
Option,2020-03-18,OSTERL,99.375,Call,OSTERL Mar Option,-4099,0.136070695139523,0.503579486440182,-0.00027739031774,0.324752208270097,1.15794244100048,0.004148899146228,0.664926240944624,0.419289785526407
Future,2020-03-18,STERL,0,Undefined,STERL Mar Future,0,99.3775,1,0,0,0,0,0.666064674459904,0
Future,2020-03-18,STERL,0,Undefined,STERL Mar Future,7423,99.3775,1,0,0,0,0,0.666064674459904,0
Future,2020-03-18,STERL,0,Undefined,STERL Mar Future,7423,99.3775,1,0,0,0,0,0.666064674459904,0
Option,2020-03-18,OSTERL,99.5,Call,OSTERL Mar Option,-9850,0.084680161014355,0.362361908223898,-0.000265059414678,0.30478945595327,1.07373905228235,0.004224127210839,0.664926240944624,0.423459937800141
Option,2020-03-13,OEU3MC3,100.25,Call,OEU3MC3 Mar Option,1000,0.130038614720942,0.473272232658297,-0.000298063223282,0.323398248801969,1.09830494404479,0.004384022679916,0.651151195407238,0
Option,2020-03-16,OEU3,100,Put,OEU3 Mar Option,500,0.003735826471991,-0.034505281831285,-4.38393694316196E-05,0.058446210098043,0.254918462038435,0.003612790701686,0.659347916718616,0.360533280499055
Option,2020-03-18,OSTERL,99.125,Call,OSTERL Mar Option,-1200,0.298091018714924,0.768989450367105,-0.000213108260955,0.246343053368097,0.882846256547779,0.00420197687242,0.664926240944624,0.417797103514593
Option,2020-06-17,OSTERL,98.375,Put,OSTERL Jun Option,-100,0.002971365480488,-0.018174364655662,-3.01362727041549E-05,0.039365563514909,0.091985822392511,0.005108935478499,0.913560120725833,0.499117811227254
Option,2020-03-13,OEU3MC3,100.75,Call,OEU3MC3 Mar Option,1000,0.011294359432186,0.071188242557132,-0.00010144570682,0.109542590692784,0.392095729758505,0.004405069117405,0.651151195407238,0
Option,2020-06-17,OSTERL,99.375,Put,OSTERL Jun Option,500,0.154806207338954,-0.480195340046839,-0.000246249302395,0.380269345358791,0.948079450996673,0.004321564957749,0.913560120725833,0.432666701320173
Option,2020-03-13,OEU3MC,100.625,Call,OEU3MC Mar Option,-1000,0.053484584426433,0.342692588859759,-0.00018200510526,0.298582397686227,1.53789472795561,0.002899488772599,0.651151195407238,0.290667215821018
Option,2020-03-18,OSTERL,98.625,Put,OSTERL Mar Option,-100,0.006624848050036,-0.038438555918398,-7.2761809741589E-05,0.066969288345389,0.204428374494518,0.005277418087553,0.664926240944624,0.502188226053974
Future,2023-03-13,FEU3,0,Undefined,FEU3 Mar Future,0,100.225,1,0,0,0,0,3.65020928462718,0
Option,2020-03-18,OSTERL,99,Put,OSTERL Mar Option,-500,0.025673248734683,-0.142133248211682,-0.000163100660621,0.182134601152222,0.639528235241977,0.00434967645586,0.664926240944624,0.417130152870021
Future,2021-09-13,FEU3,0,Undefined,FEU3 Sep Future,-3359,100.4775,1,0,0,0,0,2.15431887366822,0
Future,2020-09-14,FEU3,0,Undefined,FEU3 Sep Future,337,100.5625,1,0,0,0,0,1.15786795314853,0
Option,2020-03-18,OSTERL,99.125,Put,OSTERL Mar Option,5000,0.045591018714807,-0.231010549632927,-0.000213108260955,0.246343053368096,0.882846256547267,0.00420197687242,0.664926240944624,0.417797103517547
Option,2020-03-18,OSTERL,99.125,Put,OSTERL Mar Option,5000,0.045591018714807,-0.231010549632927,-0.000213108260955,0.246343053368096,0.882846256547267,0.00420197687242,0.664926240944624,0.417797103517547
Option,2020-03-16,OEU3,100.625,Call,OEU3 Mar Option,4200,0.037333099153808,0.322861392125904,-0.000132588871901,0.293994505492369,1.99156924697202,0.00217221455934,0.659347916718616,0.217788039366822
Option,2020-03-16,OEU3,100.625,Call,OEU3 Mar Option,4200,0.037333099153808,0.322861392125904,-0.000132588871901,0.293994505492369,1.99156924697202,0.00217221455934,0.659347916718616,0.217788039366822
Future,2021-12-15,STERL,0,Undefined,STERL Dec Future,2160,99.2875,1,0,0,0,0,2.40911339421609,0
